model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
deep_sets_mean,23456,1,1000,90.08628155366685,110,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,2,1001,37.14938101694002,47,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,3,1002,21.39014404329673,42,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,4,1003,33.68339956088823,46,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,5,1004,499.3321609469012,600,0,0,0,1,overtake_easy,actor,,,,,,
deep_sets_mean,23456,6,1005,503.09799388766606,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean,23456,7,1006,21.164380289532826,38,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,8,1007,330.7638246550027,408,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,9,1008,20.621033599418798,42,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,10,1009,499.5561594009973,600,0,0,0,1,overtake_easy,actor,,,,,,
deep_sets_mean,23456,11,1010,493.83897908064534,600,0,0,0,1,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,12,1011,499.2372456254213,600,0,0,0,1,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,13,1012,28.810265955430022,45,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,14,1013,35.50520418897288,44,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,15,1014,33.49571135958892,59,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,16,1015,21.093097332558884,36,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,17,1016,17.669295054458864,37,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,18,1017,338.8832208641285,421,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,19,1018,40.75564327550001,53,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,20,1019,25.068473477011246,48,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,21,1020,34.43706649167321,42,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,22,1021,69.96178321901293,94,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,23,1022,499.53461792323935,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean,23456,24,1023,465.928779559517,571,1,0,1,0,stay_best,actor,,,,,,
deep_sets_mean,23456,25,1024,22.66612214609206,45,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,26,1025,224.25084586046933,289,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,27,1026,17.9194049321319,32,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,28,1027,19.23966860549897,34,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,29,1028,19.554976501421297,39,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,30,1029,13.057645109336276,29,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,31,1030,31.007417136842278,50,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,32,1031,499.7448051067498,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean,23456,33,1032,27.226469749931415,52,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,34,1033,381.29218793342596,478,1,0,1,0,stay_best,actor,,,,,,
deep_sets_mean,23456,35,1034,17.089448518899843,37,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,36,1035,375.33494382101077,461,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,37,1036,19.264478159328306,33,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,38,1037,28.794802929937532,51,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,39,1038,16.696852583271085,34,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,40,1039,22.010621124646555,44,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,41,1040,37.68495460234282,45,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,42,1041,39.490572585760745,48,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,43,1042,35.614740216895996,43,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,44,1043,38.03472551350056,50,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,45,1044,41.988297846502455,55,1,0,1,0,stay_best,actor,,,,,,
deep_sets_mean,23456,46,1045,41.603041090212706,50,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,47,1046,55.70244852910587,68,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,23456,48,1047,33.06517745049002,40,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,49,1048,38.563486877826556,46,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,23456,50,1049,175.7316811183419,214,1,0,1,0,overtake_blocked,actor,,,,,,
