iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4103,10.854497,5.84128,-0.011055,74.35
2,8207,11.793103,6.57665,-0.00714,67.72
3,12314,16.62753,10.366086,-0.012642,64.84
4,16423,31.366412,22.170784,-0.005153,64.79
5,20537,33.177419,23.572791,-0.0005,63.1
6,24666,34.991525,24.987348,-0.002373,63.88
7,28765,40.186275,29.594431,-0.000841,61.68
8,32904,39.419048,28.740789,-0.002291,64.03
9,37024,43.829787,32.771043,-0.000794,80.65
10,41125,41.846939,30.71486,-0.001692,69.25
11,45233,45.644444,33.898901,-0.001796,74.04
12,49347,57.138889,44.409614,-0.001063,58.45
13,53488,53.779221,41.166001,-0.001945,54.12
14,57659,78.698113,62.38561,-0.001681,53.61
15,61760,70.706897,55.280099,-0.000948,53.41
16,65896,68.933333,53.73335,-0.002567,54.42
17,70108,97.953488,78.045342,-0.000759,51.76
18,74426,86.36,67.746645,-0.00012,53.32
19,78563,68.95,53.111311,-0.001673,52.55
20,82786,100.547619,79.733738,-0.000669,51.85
21,86883,120.5,95.534208,-0.000131,52.63
22,90993,132.580645,107.214118,-0.000184,61.61
23,95165,112.756757,90.000988,-0.000286,59.88
24,99271,136.866667,110.534045,-0.000775,67.75
25,103478,100.166667,79.553002,0.000155,85.29
