iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4099,14.587189,8.895348,-0.005746,82.22
2,8196,16.193676,10.064725,-0.005286,3423.29
3,12322,17.191667,10.862087,-0.004546,84.09
4,16430,21.395833,14.188906,-0.003692,73.34
5,20527,22.026882,14.670271,-0.003783,69.93
6,24647,23.542857,15.750823,-0.00187,70.32
7,28764,26.733766,18.42687,-0.000711,65.53
8,32872,28.331034,20.078975,-0.000642,62.08
9,36968,27.306667,18.990277,-0.000634,63.28
10,41064,30.567164,21.571993,-0.000799,63.95
11,45179,32.65873,23.235267,-0.000786,72.13
12,49275,31.030303,22.253928,-0.000688,72.51
13,53382,32.085938,23.22504,-0.000607,73.41
14,57530,31.907692,23.037851,-0.000499,75.7
15,61652,34.638655,25.202143,-0.000413,74.26
16,65761,37.354545,27.762847,-0.000601,74.34
17,69902,34.22314,24.948009,-0.000749,72.27
18,74102,35.897436,26.146826,-0.000613,71.68
19,78274,37.25,27.591311,-0.0004,71.62
20,82379,38.364486,28.023482,-0.000598,70.96
21,86488,41.505051,30.498911,-0.001011,75.22
22,90610,39.634615,29.07438,-0.00019,74.58
23,94714,46.11236,34.80643,-0.000412,78.04
24,98821,39.114286,28.308434,-0.000277,76.97
25,102923,45.577778,33.969982,-0.000253,73.94
