"model","train_seed","episode_index","eval_seed","episodic_return","episodic_length","collided","capped","terminated","truncated","scenario","run_index","run_id"
"self_attention","12345","1","1000","85.99918302491014","103","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","2","1001","142.77019836474648","161","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","3","1002","25.24516423786182","38","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","4","1003","258.80521493525504","274","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","5","1004","174.02156877262132","207","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","6","1005","127.19085227439301","148","1","0","1","0","stay_best","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","7","1006","20.474413371834242","31","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","8","1007","57.998366055944174","74","1","0","1","0","overtake_blocked","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","9","1008","21.017030674942117","33","1","0","1","0","overtake_blocked","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","10","1009","55.469593193556086","73","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","11","1010","308.5025584399387","334","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","12","1011","223.4222773311716","242","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","13","1012","82.53472497078776","103","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","14","1013","24.424891056794095","37","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","15","1014","31.089228713125433","45","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","16","1015","24.931012073044265","35","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","17","1016","21.57767822454073","34","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","18","1017","33.26773519292465","47","1","0","1","0","overtake_blocked","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","19","1018","63.65075451894439","80","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","20","1019","24.116015466945306","37","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","21","1020","27.72828845151775","32","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","22","1021","519.1567079533958","525","0","0","0","1","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","23","1022","376.5699478143124","401","1","0","1","0","stay_best","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","24","1023","74.0981458194786","95","1","0","1","0","stay_best","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","25","1024","23.77249119132919","37","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","26","1025","73.22421502810309","94","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","27","1026","17.00341859293823","28","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","28","1027","20.636402654953482","32","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","29","1028","22.31810100563238","34","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","30","1029","16.608022706850157","28","1","0","1","0","overtake_blocked","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","31","1030","26.287698740170242","39","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","32","1031","235.32351542358228","256","1","0","1","0","stay_best","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","33","1032","29.767389968469843","43","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","34","1033","28.091274373617924","41","1","0","1","0","overtake_blocked","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","35","1034","19.50723267205699","32","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","36","1035","42.97882794320802","53","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","37","1036","20.98554189532406","33","1","0","1","0","overtake_blocked","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
"self_attention","12345","38","1037","24.26918774600491","37","1","0","1","0","overtake_easy","1","self_attention_continuous_stage2_lite_100k_seed12345_20260506_192915"
