model_label,display_name,train_seed,episode_index,eval_seed,start_lane,episodic_return,episodic_length,collided,capped,terminated,truncated,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,31,1030,1,500.63471146782695,600,0,0,0,1,safeguarded,0.001,5,0.0020538141691001026,0.01360476016998291,424,0.7066666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,32,1031,2,500.59007580478163,600,0,0,0,1,safeguarded,0.001,5,0.0019253950501085153,0.011781354434788227,413,0.6883333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,33,1032,1,500.70649883006746,600,0,0,0,1,safeguarded,0.001,5,0.0019751063554546513,0.015852725133299828,404,0.6733333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,34,1033,1,500.70791969697103,600,0,0,0,1,safeguarded,0.001,5,0.0020279417659791457,0.011298580095171928,403,0.6716666666666666
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,35,1034,1,500.656114313827,600,0,0,0,1,safeguarded,0.001,5,0.0021052712795972183,0.015552697703242302,428,0.7133333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,36,1035,0,500.49656634265546,600,0,0,0,1,safeguarded,0.001,5,0.0019544880624198413,0.010667913593351841,424,0.7066666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,37,1036,1,500.6537709532964,600,0,0,0,1,safeguarded,0.001,5,0.0018964630728805787,0.011928409337997437,404,0.6733333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,38,1037,1,500.6525365960304,600,0,0,0,1,safeguarded,0.001,5,0.0020642035629422632,0.013330342248082161,416,0.6933333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,39,1038,1,500.61289957882127,600,0,0,0,1,safeguarded,0.001,5,0.002060112967559083,0.017894724383950233,443,0.7383333333333333
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,40,1039,1,500.68437286089767,600,0,0,0,1,safeguarded,0.001,5,0.0020551904488214255,0.012279214337468147,421,0.7016666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,41,1040,0,500.5276398225857,600,0,0,0,1,safeguarded,0.001,5,0.0019746443187978,0.013575504533946514,428,0.7133333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,42,1041,2,500.60172303940266,600,0,0,0,1,safeguarded,0.001,5,0.002133319596905494,0.008839239366352558,447,0.745
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,43,1042,2,500.61156561082623,600,0,0,0,1,safeguarded,0.001,5,0.0020134540379755585,0.012339012697339058,426,0.71
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,44,1043,2,84.70830482431435,102,1,0,1,0,safeguarded,0.001,5,0.0025401680452655545,0.023615853860974312,76,0.7450980392156863
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,45,1044,0,500.5102306606298,600,0,0,0,1,safeguarded,0.001,5,0.0019369071557351466,0.009465417824685574,414,0.69
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,46,1045,2,500.54355426562034,600,0,0,0,1,safeguarded,0.001,5,0.0020077960280226155,0.012127655558288097,423,0.705
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,47,1046,0,500.52343319277384,600,0,0,0,1,safeguarded,0.001,5,0.0020419801869259874,0.015967044979333878,432,0.72
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,48,1047,0,500.52028652260555,600,0,0,0,1,safeguarded,0.001,5,0.002128383454661768,0.012553849257528782,444,0.74
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,49,1048,2,500.5669091939759,600,0,0,0,1,safeguarded,0.001,5,0.002028704533531709,0.009546597488224506,422,0.7033333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,50,1049,2,500.56437446440924,600,0,0,0,1,safeguarded,0.001,5,0.0020412732022729568,0.01113729365170002,437,0.7283333333333334
